id,severity,severity,severity
1612466,1,1,1
12937883,2,2,2
25190210,3,2,3
3280410,1,1,1
22931975,1,1,1
2321259,4,4,4
19188457,2,3,3
21300865,1,1,1
21610501,2,1,1
5079643,2,1,2
16984218,1,2,1
4243250,1,1,2
25621716,1,1,1
16499983,1,1,1
19739597,2,2,2
18546456,3,4,4
2595384,1,1,1
20166635,2,2,2
7901811,1,3,2
19695883,1,3,1
22849748,2,1,1
18345905,2,1,1
3261500,2,2,2
21433956,2,2,2
9177488,1,1,1
22702749,1,2,1
9354587,2,2,2
4544140,1,1,1
27642044,2,1,3
17322638,2,2,2
5330615,1,1,1
29094900,1,1,1
3491143,1,1,1
20253357,3,3,3
10989173,2,2,2
6361009,2,2,2
14135350,1,1,1
26084105,1,1,1
17500974,1,1,1
6493699,2,2,2
22666325,2,2,2
17880137,1,2,2
27610841,4,4,4
17402536,2,2,2
2849651,2,2,2
597235,4,1,2
17410680,2,2,2
3779938,3,2,3
9371522,1,1,3
22756682,1,1,2
15900194,2,2,2
10182292,1,1,1
20718627,1,1,1
630622,4,4,4
2602911,2,2,2
17730182,1,1,1
15077074,3,3,3
14972792,1,1,1
18479582,1,1,1
3181376,5,5,5
3611391,1,1,1
22223734,1,1,1
22702315,1,2,2
12866475,1,1,1
9301421,2,2,2
10515951,1,1,1
10227720,2,1,2
22512785,2,2,2
11870069,3,1,2
1455236,1,1,1
8318401,3,3,3
332270,1,1,2
15139054,1,1,3
18609478,2,2,3
16365541,2,2,3
24749380,1,1,1
6261414,2,3,3
25780791,1,1,1
24373889,2,1,1
20958119,1,1,1
15409557,2,1,1
13232785,2,3,3
14208366,1,2,2
4168278,1,1,1
16027033,2,3,3
22474424,1,1,1
24575837,4,4,4
19434633,2,2,3
2557798,2,2,2
11851945,1,1,1
17296151,1,1,1
158482,1,3,2
25565592,1,1,1
8726434,2,2,2
12166021,1,1,1
27431829,1,1,1
9759518,1,1,1
12982900,1,1,1
5449232,1,1,2
9961990,2,2,2
25144696,1,1,1
16335720,1,1,1
14975940,2,2,3
23656442,4,4,1
15432469,1,1,1
3177949,1,1,1
15831689,4,4,4
23804369,1,1,1
11537280,1,3,1
22739423,2,2,1
25776787,1,1,1
13763709,1,2,2
838381,1,4,4
10135490,1,1,1
2721081,1,2,1
15886565,1,2,1
21100747,2,2,3
10091935,1,1,1
3169979,1,1,1
8954134,4,4,4
14097087,1,1,1
6243272,1,1,2
29126230,1,1,2
4352852,1,1,1
13602592,1,1,2
3111407,2,2,2
2811751,1,1,1
20658443,3,3,1
12564641,1,1,2
14050812,2,2,2
14182424,3,3,2
20097479,1,2,1
10989693,2,2,2
7296001,2,2,3
17939097,1,1,1
14624091,1,1,1
14824382,1,1,2
12567925,3,3,3
28475097,1,1,1
10527312,1,1,1
17917182,3,3,3
7647396,3,1,1
4334119,1,1,1
16188826,1,1,1
1560583,1,1,1
1948994,1,1,1
11160065,1,1,1
14032787,2,3,3
28732300,2,3,3
27395472,2,3,1
27712598,1,1,1
7979752,3,3,3
26464656,1,1,1
16479464,3,3,1
12735692,1,1,1
6590770,1,1,1
13226464,5,5,4
16464183,1,4,1
15037316,1,1,3
10288067,1,2,1
23731799,1,2,1
498007,1,1,1
66817,2,2,1
12067428,3,3,4
19081214,1,1,1
3269130,4,4,4
15794571,1,1,1
2931478,2,2,3
13060422,3,3,3
3533535,1,1,1
19193452,1,1,1
12894961,2,2,1
8540162,2,2,2
8351504,1,1,1
10523620,1,1,1
4106130,1,2,1
9669530,1,1,1
20473359,1,1,1
16719447,1,1,1
2258228,3,3,3
16075337,1,1,1
20598882,1,1,1
3892532,1,1,2
9378084,4,4,2
3611030,2,2,2
2572507,1,1,1
20375461,4,4,4
22778217,1,1,2
14161128,3,3,2
2564582,1,1,2
22804643,2,2,3
1786451,2,1,1
13433974,1,1,1
9804392,3,2,2
26820972,2,2,3
20502625,3,1,2
2641556,1,1,1
28061631,1,2,1
20910706,4,4,4
7358905,1,2,1
2709435,1,1,1
17892057,1,1,1
26909720,3,1,1
4020560,1,2,1
75865,1,1,1
9347311,3,2,3
9474801,2,2,2
15913374,1,1,1
9549347,3,2,3
8999933,1,1,4
23285385,2,1,1
3798684,2,2,1
14104610,1,1,1
23228093,3,3,2
18990312,2,2,2
5613914,1,1,1
15699734,1,1,1
11049879,1,1,1
6751687,1,1,1
10112383,1,1,1
19053311,1,1,1
18376261,4,4,4
13508538,1,1,1
10728836,1,1,3
18651083,1,1,1
10719453,1,1,1
12912401,3,3,3
19211295,2,1,1
25420603,1,1,1
10109738,1,1,1
22843159,2,1,1
13350383,3,3,3
9466763,1,1,1
24817837,1,1,1
3245134,1,1,1
19095366,3,2,2
12820047,2,2,2
7272889,1,1,1
4584011,2,1,1
23684832,1,1,1
20378087,3,3,3
10630128,4,4,4
20849019,1,1,1
24241956,3,2,2
18974791,2,1,1
26702716,4,4,4
9708397,2,1,1
1016670,1,1,1
25375716,3,2,3
7407579,1,2,2
17415488,1,1,1
28853711,1,1,1
14709126,1,2,2
15917469,2,1,1
17814865,4,4,4
18486991,1,1,1
12521636,1,1,1
17449744,1,1,1
16415370,1,1,1
17176017,2,1,1
2823724,1,1,1
4077558,1,2,2
4360822,1,1,1
3429898,2,2,2
17527986,2,3,3
720175,1,1,1
1105517,4,4,4
2243252,2,2,2
14056360,1,3,3
2983803,4,4,1
12828155,2,2,2
2242661,1,1,1
18567612,1,1,1
625471,1,1,1
25581290,1,1,1
22745669,1,2,1
13558087,1,1,1
16290953,2,2,2
3727593,1,1,1
18222079,3,2,2
7839557,1,1,2
14991187,1,1,1
8376619,2,1,1
3943165,1,1,1
10152914,1,1,1
3299472,1,1,2
14149277,2,2,2
20390450,1,1,1
12484098,3,2,2
17049030,1,1,1
8207891,1,1,1
3224321,3,3,3
10088908,2,2,2
14067654,1,1,1
27153749,2,1,1
12587488,1,1,1
25261754,1,1,1
3202738,2,1,1
23913723,1,1,1
19816717,1,1,1
8517339,1,1,1
1807888,1,1,1
17355770,1,1,1
5739911,1,1,1
28670110,4,2,4
5444227,1,1,1
18035600,2,2,2
26644286,1,1,1
14127917,1,1,1
5577059,1,1,1
21564511,1,2,1
18882524,2,2,2
19112975,1,1,1
8662697,2,2,2
4490281,1,2,2
8691335,1,1,2
16836692,1,1,1
21380380,2,2,2
10003534,1,1,1
5844332,1,1,1
6618683,1,2,2
6473505,1,1,1
10861861,1,1,1
5593405,2,2,2
26617146,1,1,1
22856905,1,1,2
8012102,1,1,1
11407908,1,2,2
19056494,2,1,2
3040469,1,1,1
15102420,1,1,1
12118553,1,1,1
6513572,2,2,2
17973371,1,1,1
11178679,1,2,2
22716617,1,2,2
22091041,2,2,2
17236221,2,2,2
11246315,2,2,2
22838673,1,1,1
15953929,1,1,1
22700395,1,2,2
20287387,1,1,1
17793313,1,1,1
18338061,1,2,2
10598981,1,1,1
10164742,1,1,1
21616467,1,1,1
7865825,2,2,2
17944719,1,1,1
14176040,1,1,1
23345490,1,1,1
3657785,2,1,1
20972783,1,1,1
3889647,1,2,1
26138730,2,2,2
8934404,1,1,1
25920154,1,1,1
2361223,2,2,2
11717862,1,1,1
11129988,2,2,2
9660277,2,2,2
18206766,2,2,2
28113433,1,1,1
12555846,2,2,2
17325056,2,2,2
2723852,2,2,2
3621823,1,1,1
3520850,1,1,1
3807822,1,1,1
23033299,4,4,4
4380472,1,1,1
3705174,1,1,1
17481423,3,3,3
4994781,1,1,1
11192984,2,2,2
10302890,1,1,2
12154114,2,2,2
9356319,1,1,1
4649299,1,1,1
3964291,1,1,1
13514890,2,2,2
6557537,1,1,1
27833029,2,2,2
18153530,1,1,1
19460647,2,2,2
19672986,1,1,1
8230666,1,1,1
5052846,2,2,2
2672823,1,1,1
11929673,2,1,1
10556118,1,2,1
14969012,4,4,4
23579718,1,1,1
9560879,1,2,2
18495194,1,2,2
11093826,1,1,1
9024622,1,1,1
3675591,1,1,1
12894968,1,1,1
5007195,1,1,1
10549827,1,1,1
21701203,3,3,3
17302383,1,1,1
15845393,2,1,1
19169575,1,1,1
10059747,1,1,1
4692885,2,2,2
28145407,1,1,1
19139630,1,1,1
6408853,1,1,1
28798173,1,1,1
18810204,2,1,1
15995073,2,1,1
3025801,1,2,2
29455143,1,1,1
20669430,1,1,1
28084995,1,1,1
4856492,1,1,1
21610882,1,1,1
14393933,1,2,2
22470049,2,2,2
12023097,1,2,2
19273690,1,1,1
19277600,1,1,1
3638081,2,2,2
18838698,1,1,1
6495495,1,1,1
24465914,1,1,1
28307081,1,1,1
3026020,2,2,2
3168322,2,2,2
21079335,2,2,2
22239916,3,3,3
111914,4,4,4
12089474,1,1,1
17919226,2,2,2
26030345,1,2,2
16035145,1,1,1
13759392,1,2,2
28222282,1,1,1
18574455,4,4,4
28498998,1,1,1
18259280,1,1,1
8549853,3,3,3
5687242,2,1,2
4977757,1,2,2
11903155,1,1,1
936577,2,2,2
19490553,4,4,4
26253862,2,1,2
2971115,1,1,1
8274211,2,2,2
23404033,2,1,2
8945858,1,2,1
26157067,1,1,1
1225361,1,1,1
16308763,1,1,1
23457456,1,1,1
14055122,1,1,1
23124697,2,2,2
6371802,1,1,1
930777,1,1,1
13049992,1,1,1
7813363,1,1,1
12830834,1,1,1
18498252,1,1,1
4202679,1,1,1
11409213,1,1,1
29472199,4,4,4
26012976,1,1,1
28695063,1,1,1
10110337,2,1,1
21451346,1,2,2
26119962,1,1,1
2586265,1,1,1
21228024,1,1,1
19903443,1,2,2
21988892,1,1,2
3995420,1,1,1
2596657,2,2,2
12132413,1,1,1
2665418,2,2,2
2802084,1,1,1
19777593,1,2,2
8233886,1,1,1
8960399,2,1,2
24887369,3,3,3
23982076,1,1,1
8311091,1,1,1
145875,1,1,1
23004610,2,1,2
20279460,1,1,1
9396814,1,1,1
8298682,1,2,2
24455342,1,1,1
11449637,1,1,1
12143311,2,2,2
11967404,1,1,1
27835377,2,2,2
22751236,1,2,1
14237606,1,2,1
6355055,2,2,1
20219519,2,1,2
4225794,1,1,1
11715950,1,1,1
13843521,1,1,1
13848544,1,1,1
4097272,2,2,2
3532583,1,1,1
18375224,1,1,1
14776906,1,1,1
17870779,1,2,2
11565356,1,2,1
9238082,1,1,1
21476764,2,1,1
7270706,2,2,2
13587400,1,2,1
21838538,1,2,2
3144202,1,2,2
2583187,1,1,1
3390589,1,1,1
18058116,1,1,1
18541996,1,1,1
27221906,1,1,1
6612443,1,1,1
2202072,1,2,2
1627089,1,1,1
8065307,1,1,1
7883885,1,1,1
13525898,1,1,1
8965739,4,4,1
9495265,1,1,1
18796733,1,1,1
11871277,1,2,2
311496,1,1,1
10990073,1,1,1
3391398,1,1,1
2957706,1,1,1
15156005,1,1,1
12817687,4,4,4
8046077,1,1,1
16338767,2,1,1
25135550,2,2,2
11577345,1,1,1
3354270,1,1,1
21604240,1,1,1
18002119,2,2,2
9351240,1,1,1
3528407,1,1,1
13865408,1,1,2
22131662,1,1,1
11189270,1,1,1
10839538,1,2,1
23151433,2,2,2
9214285,1,1,1
19325440,1,2,2
936837,1,1,1
4250671,1,1,1
15163594,2,2,2
5807327,1,1,1
1966282,1,1,1
3694809,1,1,1
3992852,1,1,1
21978097,1,2,2
8937310,1,1,1
21320248,1,1,1
13050557,1,1,1
18315257,1,1,1
15109713,1,1,1
8401037,1,1,1
29258058,1,1,1
24361031,1,1,1
20019697,1,1,1
7942529,1,1,1
19817593,1,1,1
9093706,1,1,1
20616827,1,1,1
2902805,2,1,1
7836361,1,1,1
10543804,1,1,1
27725926,2,2,2
20040600,1,1,2
1689121,1,1,1
4370621,1,1,1
19886657,1,1,1
6545642,1,1,1
473139,1,1,1
2868694,1,1,1
1906258,3,3,3
11934911,1,1,1
12163788,1,1,1
11891972,1,1,1
28576529,3,3,3
15034818,1,1,1
8912890,3,3,3
4570265,1,1,1
24122962,1,1,1
9955594,1,1,1
16183083,1,1,1
26446061,1,1,1
25050435,1,2,1
16572519,1,3,3
21083212,1,1,1
23020914,2,2,2
26816292,1,1,1
14394195,1,1,1
257296,1,1,1
8541722,1,2,2
22463060,1,4,4
17926415,1,1,1
22210180,1,3,3
11027033,1,1,1
1059063,3,3,3
1270754,4,4,4
9663936,1,3,3
6544827,1,1,1
19978702,1,1,1
3102879,1,1,1
7281511,3,3,3
7280993,1,1,1
3946092,1,1,1
22053204,1,1,1
10650644,1,1,1
23527126,1,1,1
15904172,2,1,2
19058398,1,1,1
19887623,1,1,1
15532475,1,1,1
11363253,1,1,1
3758739,2,2,2
3356732,1,1,1
7204573,1,1,1
28883321,1,1,1
8539604,1,1,1
3814883,1,1,1
15862120,1,2,2
1093157,2,1,1
17038663,2,1,2
4183264,1,1,1
4831937,1,1,1
4852185,1,2,2
728635,4,4,4
16276203,1,1,1
9840778,3,3,3
26337301,2,2,2
4629241,1,1,1
5508843,2,1,1
3162868,3,3,3
9278605,1,2,1
13599366,1,1,1
20017457,1,1,1
5951264,1,1,2
11117522,1,1,1
3383394,2,3,3
16482949,1,1,1
3621244,2,2,2
2676506,1,1,1
13577488,1,1,1
7728012,3,3,3
20828688,2,1,2
20331020,1,1,1
1934657,4,2,4
10300464,1,1,2
5711555,1,1,1
18494665,1,1,1
3753237,1,1,1
25915763,1,1,1
20445339,2,2,2
11707389,1,1,1
7197384,1,1,1
19880585,1,1,1
17792855,4,4,4
276838,1,1,1
18787727,1,1,1
11158799,2,1,1
7752524,1,1,1
9374924,3,3,3
3294117,1,3,3
13793037,1,1,1
6549796,1,1,1
15086665,1,1,1
19335159,1,1,1
14398941,1,4,1
3077775,1,1,1
13039928,1,1,1
6725209,1,1,1
4047862,1,1,1
18346523,1,1,1
7957155,1,1,1
18327874,3,2,1
23606622,1,1,1
3048401,1,1,1
4908768,4,4,4
16596019,3,1,3
19178606,1,1,1
15471822,1,1,1
21013438,1,1,1
6947023,3,3,3
28440937,2,2,2
19231012,1,1,1
28052228,1,1,1
17330257,1,1,1
23466731,2,2,2
5457987,1,1,1
4486002,1,1,1
17066469,2,2,2
24480920,2,1,2
10993617,1,1,1
24736431,3,2,2
12026358,1,1,1
15406413,1,1,1
17311995,2,2,2
18368907,1,4,1
21032476,1,1,1
11123114,2,2,3
19364078,1,1,1
27581201,1,1,1
4605022,1,2,2
1319024,1,1,1
6615594,2,2,3
14160812,1,1,1
19982916,1,1,1
19946725,1,1,1
2649160,1,1,1
11601216,1,1,1
8029319,1,1,1
11196345,1,1,1
2897612,1,1,1
100899,1,1,1
6474508,1,1,1
3530757,1,1,1
564362,1,1,1
3058559,1,1,1
6490835,2,2,2
14579603,3,3,3
2750905,3,3,3
3979794,1,2,1
2722314,2,1,2
3183555,2,2,2
16914670,1,2,2
20237999,2,2,2
22669001,2,2,2
4929454,1,1,1
10522378,1,1,1
12771560,1,1,1
14202015,1,2,1
3978342,1,2,1
16403417,1,1,1
497173,1,1,1
3589260,1,1,1
2853069,2,2,2
23381130,1,1,1
19004952,1,1,1
26821389,4,4,4
15403223,1,1,1
14115704,4,4,4
4302274,1,1,1
23586939,1,1,1
5632801,3,3,3
8879500,4,4,4
5969119,1,1,1
19899567,1,1,1
8662972,1,1,1
2640940,2,2,2
9750984,2,3,2
16153427,1,1,2
15582585,1,1,1
27844869,4,4,4
14254605,1,2,1
19474962,1,1,1
27375732,1,2,2
16379209,1,1,1
26020696,1,3,3
10658236,1,1,1
3263768,1,1,1
26737851,2,1,2
13513870,1,1,1
17958479,2,2,2
1954780,2,2,2
13387466,1,1,1
17643516,2,2,2
24171955,4,4,4
10723419,2,2,2
7645158,1,1,1
16321894,1,1,1
18606022,3,3,3
26295842,2,2,2
27287740,1,1,1
1824579,4,4,4
3096692,3,3,3
20087375,1,1,1
17950607,2,2,2
26445141,1,1,1
18246401,1,2,2
2769302,1,1,1
9832359,2,1,1
11460144,1,1,1
3076521,1,1,1
3860374,1,1,1
20057449,1,1,1
5117265,3,3,3
323390,4,4,4
7207731,2,2,2
13948282,1,1,1
5887474,1,1,1
21432918,2,2,2
8620660,1,1,1
20869469,2,1,1
17619971,1,1,1
1568465,1,1,1
28123970,1,1,1
4019228,2,2,2
22215898,1,1,1
3351742,1,1,1
23466204,1,2,1
9321177,1,1,1
10531558,2,2,2
17089688,1,1,1
18490261,2,3,2
21475441,1,1,1
6102294,3,3,3
6714763,2,2,2
17332985,1,1,1
18456061,1,1,1
4528513,1,1,1
6178606,1,1,1
12483336,2,2,2
18459452,1,1,1
14125584,1,1,1
2807976,1,1,1
15264254,1,1,1
1480630,1,1,1
6386141,3,3,3
3865559,2,2,2
9860509,1,1,1
6559514,3,3,3
24152092,1,1,1
10596833,1,1,1
7946782,1,1,1
513662,1,1,1
17988076,2,2,2
14696301,3,3,3
16479642,1,2,2
28180881,1,1,1
1900792,1,1,1
6526560,1,1,1
8625454,1,1,1
9831442,3,2,3
12577074,1,1,1
24817326,1,1,1
17743059,1,1,1
7438858,5,5,5
3753915,1,2,2
15570307,1,1,1
19914706,2,2,2
6168093,2,2,2
3279464,1,1,1
25187955,1,2,1
15825464,2,2,2
18332702,1,1,1
15417403,2,2,3
13829519,1,1,1
11747271,1,2,2
29403527,1,1,1
7660920,1,1,1
10995038,2,2,2
16679805,1,1,1
25421098,2,2,2
28689956,1,1,1
21204296,1,1,1
17131056,1,1,1
16318287,1,1,1
18644952,3,3,3
12510554,2,2,2
11353571,2,2,2
15324258,2,2,1
3061982,1,1,1
3303384,1,1,1
15483865,1,1,1
10279638,1,2,2
6562486,1,1,1
23154983,1,1,1
3511986,1,1,1
28181247,4,4,4
25861357,1,2,2
1154973,1,3,3
3172350,2,2,2
19172495,1,1,1
3539051,1,1,1
11324057,3,3,3
11733855,1,1,1
1963300,4,1,4
2508590,2,2,2
20781239,2,2,2
17896754,2,1,1
14253549,2,1,2
10291554,2,2,2
12881426,1,1,1
9334018,3,3,3
10658583,1,1,1
18794197,1,2,2
3231309,1,1,1
12592821,3,3,3
5857468,2,2,1
25076819,1,1,1
11197597,1,1,1
2553592,1,1,1
10050287,1,1,1
8706522,1,1,1
19285574,2,1,2
27071202,1,1,1
5082986,1,1,1
4282696,1,1,1
2090387,1,2,2
15922147,1,1,1
25323165,1,1,1
21192183,1,1,1
19016815,2,1,2
1240634,1,1,1
933133,1,1,1
15380936,2,1,2
27237378,3,3,3
10730911,2,2,2
17374900,1,1,1
12556483,1,1,1
6658876,2,2,2
22782107,1,1,1
5820492,1,1,1
18342064,1,1,1
12994955,1,1,1
17119115,1,1,1
9264694,2,1,2
8963010,2,2,2
22482423,1,1,1
13296917,1,1,1
15006041,2,2,2
11085792,2,5,5
12437998,1,1,1
6995727,1,1,1
13221784,2,1,2
2071773,4,4,4
25536540,4,4,4
22675674,1,2,2
5198717,1,1,1
12507399,1,1,1
8229334,1,1,1
15905146,1,1,1
2772040,1,2,1
21121031,1,2,2
14454956,1,1,1
15925803,1,1,1
6867469,3,3,3
24456490,2,2,1
2792565,1,1,2
27248028,2,2,2
22678862,1,1,1
2986618,2,2,2
1488524,2,3,2
3321871,4,4,4
28092058,2,2,3
24998509,1,1,1
1549232,4,4,4
13326133,1,1,1
9813355,1,1,1
23913905,1,1,1
19070032,1,1,1
10725764,1,1,1
10693675,1,1,2
4484750,1,1,1
3059884,1,1,1
20709582,1,1,1
9356448,1,1,1
16309090,2,1,2
24673105,1,1,1
270304,1,1,1
17852367,1,1,1
20738617,1,1,1
18669381,2,2,2
4039701,1,1,1
21784898,1,1,1
11155247,1,1,1
2707509,1,1,1
19907958,1,1,1
8064668,1,1,1
9166310,2,2,2
8060423,1,2,2
13175020,4,4,4
12115971,2,2,2
19039558,1,1,1
17031662,1,1,1
25208198,1,1,1
3084984,1,1,1
17560867,1,1,1
1754695,2,2,2
10599836,1,1,1
28909056,1,1,1
18178585,1,1,1
14202885,2,2,2
5868843,2,2,2
